SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,SchoolCode,SchoolName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Subject,Category,Group,PercentBottom30,NumberBottom30,PercentMiddle40,NumberMiddle40,PercentTop30,NumberTop30,NumberOfStudents
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Program Participation","English Learners","42.30","22","38.50","20","19.20","10","52"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Science","Program Participation","English Learners","53.80","< 10","23.10","< 10","23.10","< 10","13"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Science","Program Participation","Students with Disabilities","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Science","Program Participation","Economically Disadvantaged","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","Students with Disabilities","81.00","17","14.30","< 10","< 5","< 10","21"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","Economically Disadvantaged","47.60","10","42.90","< 10","9.50","< 10","21"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Program Participation","Economically Disadvantaged","57.10","12","28.60","< 10","14.30","< 10","21"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","English Learners","52.10","25","31.30","15","16.70","< 10","48"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Program Participation","Students with Disabilities","85.70","18","9.50","< 10","< 5","< 10","21"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Race/Ethnicity","White, not of Hispanic origin","32.30","10","41.90","13","25.80","< 10","31"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Science","Race/Ethnicity","White, not of Hispanic origin","32.30","10","29.00","< 10","38.70","12","31"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Race/Ethnicity","White, not of Hispanic origin","37.20","35","37.20","35","25.50","24","94"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Race/Ethnicity","White, not of Hispanic origin","31.90","30","37.20","35","30.90","29","94"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Race/Ethnicity","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Math","Race/Ethnicity","Two or More Races","26.70","< 10","60.00","< 10","13.30","< 10","15"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","Science","Race/Ethnicity","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Race/Ethnicity","Two or More Races","33.30","< 10","40.00","< 10","26.70","< 10","15"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Program Participation","Not Economically Disadvantaged","26.10","18","42.00","29","31.90","22","69"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Program Participation","Not Migrant","29.70","22","40.50","30","29.70","22","74"
