SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Grade,Subject,Subgroup_1,Subgroup_2,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","Students without IEP","85.7","14.3","<=5%","<=5%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Students with Disabilities","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Students without IEP","English Learners","<=20%","64.7","<=20%","<=20%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Male","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Female","English Learners","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Students without IEP","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","American Indian or Alaska Native","Not English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Black, not of Hispanic origin","Not English Learners","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Male","Not English Learners","65.1","18.9","5.7","10.4"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","American Indian or Alaska Native","Students without IEP","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Male","Students without IEP","61.5","25.0","6.7","6.7"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Male","English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Hispanic","Not English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","Male","81.6","18.4","<=10%","<=10%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Female","Students without IEP","76.8","15.8","<=5%","<=5%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","American Indian or Alaska Native","Female","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Female","Not English Learners","76.6","14.9","5.3","<=5%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Female","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Students with Disabilities","Not English Learners","33.3","22.2","<=20%","33.3"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","Students with Disabilities","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","Not English Learners",">=95%","<=5%","<=5%","<=5%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Black, not of Hispanic origin","Female","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Black, not of Hispanic origin","Students without IEP","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Not English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Hispanic","Students without IEP","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","Not English Learners","59.6","22.0","9.2","9.2"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Students with Disabilities","English Learners","*","*","*","*"
