SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,SchoolCode,SchoolName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Subject,Category,Group,PercentBottom30,NumberBottom30,PercentMiddle40,NumberMiddle40,PercentTop30,NumberTop30,NumberOfStudents
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Program Participation","English Learners","55.60","10","33.30","< 10","11.10","< 10","18"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Program Participation","Not Homeless","29.40","20","41.20","28","29.40","20","68"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Gender","Female","34.30","12","40.00","14","25.70","< 10","35"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Gender","Male","24.20","< 10","42.40","14","33.30","11","33"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Race/Ethnicity","Asian","22.20","< 10","44.40","12","33.30","< 10","27"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Race/Ethnicity","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Race/Ethnicity","White, not of Hispanic origin","35.30","12","32.40","11","32.40","11","34"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Race/Ethnicity","Hispanic","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Race/Ethnicity","Black, not of Hispanic origin","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Program Participation","Not Economically Disadvantaged","26.20","16","42.60","26","31.10","19","61"
"22 - 23 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","SocialStudies","Program Participation","Economically Disadvantaged","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
