SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Military Connected","53.8000","370","541.5000","199","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50.3000","370","1080.1000","186","72.7000","370","538.6000","269"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students with Disabilities","<=20%","23","401.7000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","23","814.8000","<3","<=20%","23","413.0000","3"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students without IEP","56.8000","347","550.8000","197","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","53.3000","347","1097.7000","185","76.7000","347","546.9000","266"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Two or More Races","<=50%","12","523.3000","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","12","1050.8000","5",">=50%","12","527.5000","8"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","47.6000","233","527.6000","111","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","43.8000","233","1057.6000","102","70.0000","233","530.0000","163"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","All Students","<=10%","51","404.5000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","51","866.3000","<3","56.9000","51","461.8000","29"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Asian","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Economically Disadvantaged","<=20%","17","390.6000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","17","812.9000","<3","47.1000","17","422.4000","8"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","English Language Learners","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Female","<=20%","27","395.2000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","27","855.9000","<3","59.3000","27","460.7000","16"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Hispanic","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Male","<=20%","24","415.0000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","24","877.9000","<3","54.2000","24","462.9000","13"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Military Connected","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","<=10%","34","411.5000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","34","892.9000","<3","61.8000","34","481.5000","21"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not English Language Learners","<=10%","47","411.3000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","47","882.8000","<3","61.7000","47","471.5000","29"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Foster Care","<=10%","51","404.5000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","51","866.3000","<3","56.9000","51","461.8000","29"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Homeless","<=10%","51","404.5000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","51","866.3000","<3","56.9000","51","461.8000","29"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Migrant","<=10%","51","404.5000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","51","866.3000","<3","56.9000","51","461.8000","29"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Military Connected","<=10%","50","404.4000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","50","867.0000","<3","58.0000","50","462.6000","29"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Students with Disabilities","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Students without IEP","<=10%","47","408.3000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","47","880.2000","<3","61.7000","47","471.9000","29"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Two or More Races","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","<=20%","26","415.8000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","26","906.9000","<3","73.1000","26","491.2000","19"
